rank,candidate_id,reviewed_label,current_title,years,fake_risk,location,india_or_relocate,top_rank_signal,career_depth_signal,evidence_hits,manual_note
35,CAND_0039383,4,Applied ML Engineer,7.1,0.000,"Gurgaon, Haryana",1.000000,0.721875,0.688125,offline metrics | semantic search | vector search | retrieval | sentence-transformers | bm25 | faiss | elasticsearch,
36,CAND_0030953,4,Search Engineer,7.8,0.000,"Chennai, Tamil Nadu",1.000000,0.791500,0.748750,offline metrics | semantic search | retrieval | embedding | embeddings | sentence-transformers | bm25 | faiss,
37,CAND_0061265,4,Recommendation Systems Engineer,6.6,0.000,"Delhi, Delhi",1.000000,0.741500,0.723750,drift detection | semantic search | vector search | retrieval | embedding | embeddings | sentence-transformers | bm25,
38,CAND_0091909,4,Machine Learning Engineer,6.9,0.000,"Bangalore, Karnataka",1.000000,0.732500,0.726875,offline metrics | retrieval | embedding | embeddings | sentence transformers | qdrant | pinecone | opensearch,
39,CAND_0033861,5,Senior NLP Engineer,8.0,0.000,"Vizag, Andhra Pradesh",1.000000,0.817625,0.802500,offline experimentation | intelligence layer end-to-end | hybrid retrieval | semantic search | vector search | dense vector | retrieval | embedding,Top-40 audit promotion: stronger reviewed label and clearer ranking/retrieval evidence.
40,CAND_0028793,4,Search Engineer,7.2,0.000,"Trivandrum, Kerala",1.000000,0.725875,0.688125,offline metrics | semantic search | information retrieval | retrieval | embedding | embeddings | sentence-transformers | bm25,Top-40 audit promotion: stronger reviewed label and clearer ranking/retrieval evidence.
41,CAND_0010257,3,Senior Data Scientist,6.5,0.000,"Noida, Uttar Pradesh",1.000000,0.786000,0.814375,offline metrics | drift detection | retrieval | embedding | embeddings | milvus | qdrant | opensearch,"Top-40 audit demotion: good candidate, but lower reviewed confidence than promoted profiles."
42,CAND_0044883,3,AI Engineer,6.3,0.000,Berlin,1.000000,0.842000,0.823750,offline metrics | drift detection | semantic search | retrieval | embedding | embeddings | sentence-transformers | bm25,"Top-40 audit demotion: good candidate, but lower reviewed confidence than promoted profiles."
43,CAND_0053695,4,Recommendation Systems Engineer,5.8,0.070,"Bhubaneswar, Odisha",1.000000,0.740875,0.698125,offline metrics | semantic search | retrieval | embedding | embeddings | sentence-transformers | sentence transformers | bm25,
44,CAND_0064326,4,Search Engineer,7.6,0.070,"Gurgaon, Haryana",1.000000,0.710875,0.673125,offline metrics | semantic search | retrieval | embedding | embeddings | bm25 | milvus | weaviate,
45,CAND_0000031,4,Recommendation Systems Engineer,6.0,0.000,"Hyderabad, Telangana",1.000000,0.678375,0.601250,offline metrics | information retrieval | retrieval | embedding | embeddings | sentence transformers | faiss | pinecone,
