rank,candidate_id,v2_score,v1_score,fake_risk,current_title,profile_years,company,location,manual_override_note,risk_reasons,evidence_hits,feature_v1_score,feature_fit_score,feature_fake_risk,feature_title,feature_years,feature_retrieval,feature_ranking,feature_evaluation,feature_production,feature_relevance_system,feature_shipper,feature_llm,feature_skills,feature_company,feature_location,feature_behavior,feature_education,feature_raw_years_ideal,feature_raw_years_senior_band,feature_response_rate,feature_notice_fast,feature_open_to_work,feature_india_or_relocate,feature_target_city,feature_verified_strength,feature_github_strength,feature_top_rank_signal,feature_career_depth_signal,feature_availability_signal,feature_risk_safe
1,CAND_0030468,9.402256594,1.022343519,0.000,Senior Applied Scientist,5.4,Swiggy,"Indore, Madhya Pradesh",,,connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | search & discovery | offline metrics | online numbers | offline experimentation,9.402257,0.922344,0.000000,0.950000,1.000000,0.412500,0.675000,0.500000,1.000000,1.000000,1.000000,0.000000,0.662354,0.980000,0.780000,0.797042,1.000000,0.680000,1.000000,0.780000,0.714286,1.000000,1.000000,0.000000,1.000000,0.450000,0.870000,0.788125,0.820960,1.000000
2,CAND_0006567,9.333288867,1.048677460,0.000,Senior AI Engineer,7.9,Meta,"Noida, Uttar Pradesh",,,connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | search and discovery experience | discovery experience | most relevant results | user's intent,9.333289,0.933677,0.000000,1.000000,1.000000,0.387500,0.675000,0.500000,1.000000,1.000000,1.000000,0.062500,0.460395,0.980000,1.000000,0.762654,1.000000,0.820000,1.000000,0.790000,0.571429,1.000000,1.000000,1.000000,1.000000,0.352000,0.885000,0.781875,0.788276,1.000000
3,CAND_0011687,9.246657492,1.013535959,0.000,Senior NLP Engineer,7.8,Niramai,"Indore, Madhya Pradesh",,,offline metrics | intelligence layer end-to-end | hybrid retrieval | semantic search | retrieval | embedding | embeddings | faiss,9.246657,0.918536,0.000000,0.940000,1.000000,1.000000,1.000000,0.950000,1.000000,0.412500,0.650000,0.725000,1.000000,0.980000,0.730000,0.870188,1.000000,0.840000,1.000000,0.890000,1.000000,1.000000,1.000000,0.000000,1.000000,0.763000,0.830125,0.788750,0.920575,1.000000
4,CAND_0080766,9.105592259,1.046690629,0.000,Staff Machine Learning Engineer,8.8,Salesforce,"Coimbatore, Tamil Nadu",,,connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | surface the right thing | right thing at the right time | millions of items | millions of users,9.105592,0.986691,0.000000,0.980000,1.000000,1.000000,0.550000,1.000000,1.000000,1.000000,1.000000,0.375000,0.875226,0.980000,0.830000,0.538278,1.000000,0.640000,1.000000,0.660000,0.000000,0.000000,1.000000,0.000000,1.000000,0.329000,0.904000,0.910000,0.380311,1.000000
5,CAND_0037980,9.087872186,1.009853587,0.000,Senior Applied Scientist,9.0,Niramai,"Kolkata, West Bengal",,,connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | surface the right thing | right thing at the right time | millions of items | millions of users,9.087872,0.949854,0.000000,0.950000,1.000000,0.575000,0.675000,0.750000,1.000000,1.000000,1.000000,0.187500,0.923561,0.980000,0.830000,0.609233,1.000000,0.600000,1.000000,0.630000,0.000000,1.000000,1.000000,0.000000,0.666667,0.308000,0.895000,0.828750,0.601193,1.000000
6,CAND_0046064,9.081798381,1.026266681,0.000,Senior NLP Engineer,8.9,Salesforce,"Coimbatore, Tamil Nadu",,,matching pipeline | offline metrics | intelligence layer end-to-end | hybrid retrieval | semantic search | vector search | dense retrieval | retrieval,9.081798,0.946267,0.000000,0.940000,1.000000,1.000000,1.000000,1.000000,1.000000,0.575000,0.650000,1.000000,1.000000,0.980000,0.730000,0.802987,1.000000,0.620000,1.000000,0.780000,0.857143,1.000000,1.000000,0.000000,1.000000,0.673000,0.875750,0.837500,0.844766,1.000000
7,CAND_0011162,8.971183274,0.966939947,0.000,Recommendation Systems Engineer,5.8,upGrad,"Coimbatore, Tamil Nadu",,,offline metrics | drift detection | vector search | retrieval | embedding | embeddings | sentence transformers | faiss,8.971183,0.904940,0.000000,0.930000,1.000000,0.887500,1.000000,0.750000,1.000000,0.500000,0.737500,0.187500,1.000000,0.980000,0.830000,0.724759,1.000000,0.760000,1.000000,0.750000,0.285714,1.000000,1.000000,0.000000,1.000000,0.343000,0.829000,0.795625,0.720261,1.000000
8,CAND_0071974,8.963990874,1.024859823,0.000,Senior AI Engineer,7.8,Netflix,"Vizag, Andhra Pradesh",,,offline metrics | offline experimentation | intelligence layer end-to-end | hybrid retrieval | information retrieval | retrieval | embedding | embeddings,8.963991,0.951860,0.000000,1.000000,1.000000,1.000000,1.000000,0.412500,1.000000,0.662500,0.787500,1.000000,1.000000,0.980000,0.730000,0.792707,1.000000,0.840000,1.000000,0.760000,0.714286,1.000000,1.000000,0.000000,1.000000,0.828000,0.856875,0.877500,0.814226,1.000000
9,CAND_0077337,8.888690155,1.021985419,0.000,Staff Machine Learning Engineer,7.0,Paytm,"Kochi, Kerala",,,offline experimentation | intelligence layer end-to-end | hybrid retrieval | semantic search | dense vector | information retrieval | retrieval | embedding,8.888690,0.926985,0.000000,0.980000,1.000000,1.000000,1.000000,0.662500,1.000000,0.412500,0.787500,1.000000,1.000000,0.980000,0.780000,0.840524,1.000000,1.000000,1.000000,0.950000,0.571429,1.000000,1.000000,0.000000,1.000000,0.680000,0.813375,0.802500,0.859424,1.000000
10,CAND_0006418,8.865151119,0.904926129,0.000,Machine Learning Engineer,5.7,Verloop.io,"Gurgaon, Haryana",,,offline metrics | drift detection | semantic search | retrieval | embedding | embeddings | qdrant | weaviate,8.865151,0.882926,0.000000,0.900000,1.000000,0.600000,0.937500,0.662500,1.000000,0.500000,0.787500,0.162500,1.000000,0.980000,1.000000,0.730115,1.000000,0.740000,1.000000,0.920000,0.571429,1.000000,1.000000,1.000000,0.666667,0.597000,0.798750,0.716250,0.807760,1.000000
11,CAND_0077285,8.766150579,0.977686797,0.000,Recommendation Systems Engineer,5.5,Nykaa,"Ahmedabad, Gujarat",,,offline metrics | drift detection | information retrieval | retrieval | embedding | embeddings | sentence transformers | faiss,8.766151,0.915687,0.000000,0.930000,1.000000,1.000000,1.000000,0.800000,1.000000,0.500000,0.737500,0.562500,1.000000,0.980000,0.730000,0.742185,0.940000,0.700000,1.000000,0.560000,0.571429,1.000000,1.000000,0.000000,0.666667,0.756000,0.834000,0.823750,0.722588,1.000000
