label,label_notes,selection_bucket,candidate_id,v1_score,fake_risk,current_title,years,company,industry,location,headline,summary,career_history,top_skills,evidence_hits,risk_reasons,signals,claude_label,gpt_label,claude_label_notes,gpt_label_notes,consensus_rule,agreement_status,review_required,original_consensus_label,codex_reviewed_label,codex_review_decision,codex_review_issue_type,codex_review_reason
5,"Consensus label 5. Claude=5; GPT=5. Claude note: Senior AI Engineer at Meta, 7.9yr, Noida, Uttar Pradesh. Strong retrieval/ranking signals, ideal exp band, India, available. | GPT note: Career history shows senior production retrieval and ranking ownership with explicit evaluation.",v1_top_260,CAND_0006567,1.048677,0,Senior AI Engineer,7.9,Meta,Internet,"Noida, Uttar Pradesh",Senior Engineer | Information Retrieval at scale,"Senior engineer who has spent the last several years building systems that connect users with relevant information at scale. Comfortable across the full stack from infrastructure to algorithms to product experience, though most of my time has been in the middle layer — the ranking and retrieval systems that decide what to show. Strong preference for shipping real systems over research-only work; I'd rather have a working v1 in 6 weeks than a perfect v2 in 6 months. I've made the standard mistakes — over-engineer...","Senior AI Engineer at Meta (26m): Built systems that understand what users are looking for and connect them to the most relevant matches across a large dataset. Worked at the intersection of infrastructure, algorithms, and product judgment — none of the three were optional. Recent project was a complete overhaul of the matching layer; took it from a hand-tuned heuristic system to one with explicit modeling and evaluation. The team grew from just me to 6 engineers over the course of that work. || Senior Applied Scientist at Razorpay (49m): Owned the search and discovery experience end-to-end at a consumer product, from how content is represented internally through to how the most relevant results appear for each user's intent. The work spanned data infrastructure, ranking algorithms, evaluation methodology, and direct collaboration with product/PM on what 'relevance' actually means for our users. Spent a fair amount of time on the eval side — building offline metrics that actually correlated with online engagement, which turned out to be the hardest part. || Senior ML Engineer — Search & Ranking at Glance (19m): Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. Designed the offline experimentation environment, the online A/B testing framework, and the feature-engineering pipeline that connected them. Most o...","Content Matching:expert/85m, Model Adaptation:expert/71m, Ranking Systems:advanced/60m, scikit-learn:expert/64m, Prompt Engineering:expert/94m, Feature Engineering:advanced/55m, Workflow Orchestration:expert/51m, BM25:expert/80m, Haystack:expert/47m, Python:expert/68m, Search Backend:advanced/31m, NLP:advanced/22m",connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | search and discovery experience | discovery experience | most relevant results | user's intent,,active=2026-05-03; open_to_work=True; response=0.79; notice=60; github=35.2; saved_30d=76,5,5,"Senior AI Engineer at Meta, 7.9yr, Noida, Uttar Pradesh. Strong retrieval/ranking signals, ideal exp band, India, available.",Career history shows senior production retrieval and ranking ownership with explicit evaluation.,same_label,exact,no,5,,not_reviewed,,
5,"Consensus label 5. Claude=5; GPT=5. Claude note: Senior NLP Engineer at Salesforce, 8.9yr, Coimbatore, Tamil Nadu. Strong domain fit, ideal band, India, open and active. | GPT note: Career history shows senior production retrieval and ranking ownership with explicit evaluation.",v1_top_260,CAND_0046064,1.026267,0,Senior NLP Engineer,8.9,Salesforce,Software,"Coimbatore, Tamil Nadu","Senior NLP Engineer | LLMs, RAG, Vector Search | ex-Top Tech","Senior AI engineer with 8.9 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline from scratch, taking it from 0.72 to 0.91 NDCG@10, operating at single-digit-millisecond p95 retrieval latency. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together....","Senior NLP Engineer at Salesforce (36m): Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. Cost per inference dropped from $0.04 with GPT-3.5-fallback to under $0.001. || Lead AI Engineer at Verloop.io (34m): Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, recall@K calibrated against online A/B engagement metrics. Drove the migration over 4 months including the recruiter-feedback loop that surfaced reranking edge cases. || Senior ML Engineer — Search & Ranking at Amazon (36m): Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost)...","PEFT:expert/92m, Pinecone:expert/85m, Elasticsearch:expert/78m, BM25:expert/64m, QLoRA:advanced/45m, Deep Learning:advanced/42m, Haystack:expert/75m, Semantic Search:advanced/43m, Python:expert/40m, YOLO:advanced/36m, Image Classification:advanced/21m, OpenCV:advanced/34m",matching pipeline | offline metrics | intelligence layer end-to-end | hybrid retrieval | semantic search | vector search | dense retrieval | retrieval,,active=2026-04-26; open_to_work=True; response=0.78; notice=30; github=67.3; saved_30d=25,5,5,"Senior NLP Engineer at Salesforce, 8.9yr, Coimbatore, Tamil Nadu. Strong domain fit, ideal band, India, open and active.",Career history shows senior production retrieval and ranking ownership with explicit evaluation.,same_label,exact,no,5,,not_reviewed,,
5,"Consensus label 5. Claude=5; GPT=5. Claude note: Senior NLP Engineer at Ola, 7.8yr, Kolkata, West Bengal. Strong domain fit, ideal band, India, open and active. | GPT note: Career history shows senior production retrieval and ranking ownership with explicit evaluation.",v1_top_260,CAND_0008425,1.025629,0,Senior NLP Engineer,7.8,Ola,Transportation,"Kolkata, West Bengal",Senior NLP Engineer | Production ML at scale | 7.8+ yrs,"Senior AI engineer with 7.8 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline from scratch, taking it from 0.72 to 0.91 NDCG@10, operating at single-digit-millisecond p95 retrieval latency. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together....","Senior NLP Engineer at Ola (25m): Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). The new system reduced p95 retrieval latency by 60% while improving NDCG@10 by 18% on our held-out eval set. Spent substantial time on the boring-but-critical parts: incremental index refresh, embedding drift monitoring, online/offline metric correlation. Led a team of 4 engineers across the rollout. || Senior ML Engineer — Search & Ranking at Zomato (46m): Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. Cost per inference dropped from $0.04 with GPT-3.5-fallback to under $0.001. || Lead AI Engineer at Amazon (21m): Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrie...","Sentence Transformers:expert/96m, Recommendation Systems:expert/87m, LoRA:expert/57m, Learning to Rank:expert/87m, pgvector:expert/58m, Hugging Face Transformers:expert/65m, Information Retrieval:expert/45m, Haystack:expert/93m, TensorFlow:advanced/40m, Qdrant:expert/92m, Python:expert/55m, Prompt Engineering:advanced/46m",matching pipeline | offline metrics | intelligence layer end-to-end | hybrid retrieval | semantic search | dense vector | information retrieval | retrieval,,active=2026-04-25; open_to_work=True; response=0.66; notice=90; github=53.3; saved_30d=55,5,5,"Senior NLP Engineer at Ola, 7.8yr, Kolkata, West Bengal. Strong domain fit, ideal band, India, open and active.",Career history shows senior production retrieval and ranking ownership with explicit evaluation.,same_label,exact,no,5,,not_reviewed,,
5,"Consensus label 5. Claude=5; GPT=5. Claude note: Senior AI Engineer at Netflix, 7.8yr, Vizag, Andhra Pradesh. Strong retrieval/ranking signals, ideal exp band, India, available. | GPT note: Career history shows senior production retrieval and ranking ownership with explicit evaluation.",v1_top_260,CAND_0071974,1.02486,0,Senior AI Engineer,7.8,Netflix,Media,"Vizag, Andhra Pradesh",Senior AI Engineer | Production ML at scale | 7.8+ yrs,"Senior AI engineer with 7.8 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I led the migration from keyword-based ranking to a learning-to-rank model with embedded behavioral signals, handling peak QPS of 8K with sub-200ms p95. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I'v...","Senior AI Engineer at Netflix (50m): Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. The hardest part wasn't the ML — it was the evaluation: building offline metrics that actually predicted what the recommendation would do to live engagement. After three iterations we landed on a calibration approach using simulated A/B tests that has held up over the last 18 months. || Staff Machine Learning Engineer at Meta (28m): Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. Cost per inference dropped from $0.04 with GPT-3.5-fallback to under $0.001. || Staff Machine Learning Engineer at Mad Street Den (14m): Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. The system combined collaborative filtering (matrix factorization), conten...","Elasticsearch:expert/96m, Qdrant:expert/68m, PEFT:advanced/43m, BM25:expert/58m, Embeddings:expert/46m, MLOps:advanced/47m, Forecasting:advanced/48m, LoRA:advanced/41m, Speech Recognition:advanced/18m, Sentence Transformers:expert/48m, CNN:advanced/45m, Weaviate:expert/61m",offline metrics | offline experimentation | intelligence layer end-to-end | hybrid retrieval | information retrieval | retrieval | embedding | embeddings,,active=2026-04-16; open_to_work=True; response=0.76; notice=45; github=82.8; saved_30d=50,5,5,"Senior AI Engineer at Netflix, 7.8yr, Vizag, Andhra Pradesh. Strong retrieval/ranking signals, ideal exp band, India, available.",Career history shows senior production retrieval and ranking ownership with explicit evaluation.,same_label,exact,no,5,,not_reviewed,,
5,"Consensus label 5. Claude=5; GPT=5. Claude note: Senior Applied Scientist at Swiggy, 5.4yr, Indore, Madhya Pradesh. Strong retrieval/ranking signals, ideal exp band, India, available. | GPT note: Career history shows senior production retrieval and ranking ownership with explicit evaluation.",v1_top_260,CAND_0030468,1.022344,0,Senior Applied Scientist,5.4,Swiggy,Food Delivery,"Indore, Madhya Pradesh",Senior Engineer | Search & Discovery Infrastructure,"Senior engineer who has spent the last several years building systems that connect users with relevant information at scale. Comfortable across the full stack from infrastructure to algorithms to product experience, though most of my time has been in the middle layer — the ranking and retrieval systems that decide what to show. Strong preference for shipping real systems over research-only work; I'd rather have a working v1 in 6 weeks than a perfect v2 in 6 months. I've made the standard mistakes — over-engineer...","Senior Applied Scientist at Swiggy (14m): Led the engineering team building infrastructure to surface relevant content to users at scale. The system processed billions of documents and served millions of queries with low latency. Most of the technical effort went into the boring-but-essential parts: index refresh, query understanding, ranking calibration, and the dashboards that made the system's behavior legible to product and business teams. I had a small team of 4 across this work. || Senior Applied Scientist at CRED (18m): Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. Designed the offline experimentation environment, the online A/B testing framework, and the feature-engineering pipeline that connected them. Most of my time went into the boring-but-critical operational layer — feature monitoring, drift detection, retraining cadence — rather than the modeling itself. Worked closely with the product and growth teams. || Senior Machine Learning Engineer at Wysa (32m): Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. Designed the offline experimentation environment, the online A/B testing framework, and the feature-engineering pipeline that connected them. Most of my time went into the boring-but-critical operational layer — feature...","OpenSearch:expert/95m, Text Encoders:expert/77m, Content Matching:expert/82m, Ranking Systems:expert/72m, Machine Learning:expert/67m, Search & Discovery:expert/45m, Milvus:expert/85m, Recommendation Systems:expert/79m, Model Adaptation:expert/43m, Computer Vision:advanced/48m, Information Retrieval Systems:advanced/24m, TensorFlow:advanced/38m",connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | search & discovery | offline metrics | online numbers | offline experimentation,,active=2026-05-03; open_to_work=True; response=0.78; notice=45; github=45.0; saved_30d=17,5,5,"Senior Applied Scientist at Swiggy, 5.4yr, Indore, Madhya Pradesh. Strong retrieval/ranking signals, ideal exp band, India, available.",Career history shows senior production retrieval and ranking ownership with explicit evaluation.,same_label,exact,no,5,,not_reviewed,,
5,"Consensus label 5. Claude=5; GPT=5. Claude note: Staff Machine Learning Engineer at Paytm, 7.0yr, Kochi, Kerala. Strong retrieval/ranking signals, ideal exp band, India, available. | GPT note: Career history shows senior production retrieval and ranking ownership with explicit evaluation.",v1_top_260,CAND_0077337,1.021985,0,Staff Machine Learning Engineer,7,Paytm,Fintech,"Kochi, Kerala",Staff Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 7.0 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vector recall, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both...","Staff Machine Learning Engineer at Paytm (19m): Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. The system combined collaborative filtering (matrix factorization), content-based features (TF-IDF + sentence-transformer embeddings), and a behavioral re-ranking layer. The most interesting technical challenge was the cold-start problem for new users; I designed an exploration-exploitation policy using Thompson sampling that improved new-user retention by 11% in the first month. || Senior NLP Engineer at Razorpay (14m): Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). The new system reduced p95 retrieval latency by 60% while improving NDCG@10 by 18% on our held-out eval set. Spent substantial time on the boring-but-critical parts: incremental index refresh, embedding drift monitoring, online/offline metric correlation. Led a team of 4 engineers across the rollout. || Senior NLP Engineer at Glance (44m): Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. Designed three successive ranker...","Recommendation Systems:expert/86m, RAG:expert/77m, Python:expert/82m, LLMs:expert/63m, Information Retrieval:expert/61m, LlamaIndex:expert/47m, pgvector:expert/75m, QLoRA:expert/47m, BM25:expert/66m, Qdrant:expert/56m, Sentence Transformers:expert/36m, Semantic Search:advanced/39m",offline experimentation | intelligence layer end-to-end | hybrid retrieval | semantic search | dense vector | information retrieval | retrieval | embedding,,active=2026-05-26; open_to_work=True; response=0.95; notice=60; github=68.0; saved_30d=32,5,5,"Staff Machine Learning Engineer at Paytm, 7.0yr, Kochi, Kerala. Strong retrieval/ranking signals, ideal exp band, India, available.",Career history shows senior production retrieval and ranking ownership with explicit evaluation.,same_label,exact,no,5,,not_reviewed,,
5,"Consensus label 5. Claude=5; GPT=5. Claude note: Lead AI Engineer at Razorpay, 6.7yr, Jaipur, Rajasthan. Strong retrieval/ranking signals, ideal exp band, India, available. | GPT note: Career history shows senior production retrieval and ranking ownership with explicit evaluation.",v1_top_260,CAND_0081846,1.015862,0,Lead AI Engineer,6.7,Razorpay,Fintech,"Jaipur, Rajasthan","Lead AI Engineer | LLMs, RAG, Vector Search | ex-Top Tech","Senior AI engineer with 6.7 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline from scratch, taking it from 0.72 to 0.91 NDCG@10, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both...","Lead AI Engineer at Razorpay (27m): Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. The architecture combined BM25 + dense retrieval (BGE embeddings, FAISS HNSW) with an LLM-based re-ranker on the top-50, falling back to a learning-to-rank model when latency budget was tight. Designed the offline evaluation framework from scratch — NDCG, MRR, recall@K calibrated against online A/B engagement metrics. Drove the migration over 4 months including the recruiter-feedback loop that surfaced reranking edge cases. || Senior Machine Learning Engineer at Paytm (52m): Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. Migrated the existing BM25-only retrieval to a hybrid setup combining sparse and dense vectors (sentence-transformers, MPNet-base initially, later fine-tuned BGE-large for our domain). The new system reduced p95 retrieval latency by 60% while improving NDCG@10 by 18% on our held-out eval set. Spent substantial time on the boring-but-critical parts: incremental index refresh, embedding drift monitoring, online/offline metric correlation. Led a team of 4 engineers across the rollout.","Information Retrieval:expert/93m, Vector Search:expert/79m, Machine Learning:expert/68m, BM25:expert/75m, Learning to Rank:expert/58m, Embeddings:expert/95m, Recommendation Systems:expert/62m, Python:expert/75m, Qdrant:expert/49m, Elasticsearch:expert/60m, Forecasting:advanced/51m, PyTorch:advanced/27m",matching pipeline | intelligence layer end-to-end | hybrid retrieval | semantic search | vector search | dense vector | dense retrieval | information retrieval,,active=2026-05-03; open_to_work=True; response=0.73; notice=30; github=33.7; saved_30d=62,5,5,"Lead AI Engineer at Razorpay, 6.7yr, Jaipur, Rajasthan. Strong retrieval/ranking signals, ideal exp band, India, available.",Career history shows senior production retrieval and ranking ownership with explicit evaluation.,same_label,exact,no,5,,not_reviewed,,
5,"Consensus label 5. Claude=5; GPT=5. Claude note: Senior NLP Engineer at Niramai, 7.8yr, Indore, Madhya Pradesh. Strong domain fit, ideal band, India, open and active. | GPT note: Career history shows senior production retrieval and ranking ownership with explicit evaluation.",v1_top_260,CAND_0011687,1.013536,0,Senior NLP Engineer,7.8,Niramai,HealthTech AI,"Indore, Madhya Pradesh",Senior NLP Engineer | Production ML at scale | 7.8+ yrs,"Senior AI engineer with 7.8 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I owned the offline-online evaluation harness — NDCG/MRR/recall calibrated to live A/B metrics, with an index footprint of ~600GB and incremental refresh every 15 min. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it al...","Senior NLP Engineer at Niramai (52m): Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. The hardest part wasn't the ML — it was the evaluation: building offline metrics that actually predicted what the recommendation would do to live engagement. After three iterations we landed on a calibration approach using simulated A/B tests that has held up over the last 18 months. || Senior Machine Learning Engineer at Krutrim (40m): Fine-tuned LLaMA-2-7B and Mistral-7B variants using LoRA and QLoRA for domain-specific candidate-JD matching. Built the data curation pipeline that generated 200K high-quality preference pairs from recruiter labels, plus the eval harness using both ranking metrics and human-quality scores. Deployed the model via BentoML on Kubernetes with sub-200ms p95 latency by quantizing to INT8 and batching at the request level. Cost per inference dropped from $0.04 with GPT-3.5-fallback to under $0.001.","OpenSearch:expert/92m, LangChain:expert/63m, LlamaIndex:expert/67m, Image Classification:advanced/53m, Embeddings:expert/56m, Semantic Search:advanced/45m, Weaviate:expert/60m, PyTorch:advanced/39m, PEFT:expert/75m, FAISS:advanced/42m, MLOps:advanced/45m, TensorFlow:expert/56m",offline metrics | intelligence layer end-to-end | hybrid retrieval | semantic search | retrieval | embedding | embeddings | faiss,,active=2026-05-10; open_to_work=True; response=0.89; notice=15; github=76.3; saved_30d=27,5,5,"Senior NLP Engineer at Niramai, 7.8yr, Indore, Madhya Pradesh. Strong domain fit, ideal band, India, open and active.",Career history shows senior production retrieval and ranking ownership with explicit evaluation.,same_label,exact,no,5,,not_reviewed,,
5,"Consensus label 5. Claude=5; GPT=5. Claude note: Senior Applied Scientist at Niramai, 9.0yr, Kolkata, West Bengal. Strong domain fit, ideal band, India, open and active. | GPT note: Career history shows senior production retrieval and ranking ownership with explicit evaluation.",v1_top_260,CAND_0037980,1.009854,0,Senior Applied Scientist,9,Niramai,HealthTech AI,"Kolkata, West Bengal",Senior Engineer | Information Retrieval at scale,"Senior engineer who has spent the last several years building systems that connect users with relevant information at scale. Comfortable across the full stack from infrastructure to algorithms to product experience, though most of my time has been in the middle layer — the ranking and retrieval systems that decide what to show. Strong preference for shipping real systems over research-only work; I'd rather have a working v1 in 6 weeks than a perfect v2 in 6 months. I've made the standard mistakes — over-engineer...","Senior Applied Scientist at Niramai (38m): Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users. The hard problem was rarely the modeling — it was the data pipeline that fed the models, the evaluation framework that told us whether they worked, and the operational discipline of keeping all of it healthy in production. I owned all three across roughly 14 months. || Senior ML Engineer — Search & Ranking at Verloop.io (38m): Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users. The hard problem was rarely the modeling — it was the data pipeline that fed the models, the evaluation framework that told us whether they worked, and the operational discipline of keeping all of it healthy in production. I owned all three across roughly 14 months. || Senior ML Engineer — Search & Ranking at Salesforce (31m): Shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time. Designed the offline experimentation environment, the online A/B testing framework, and the feature-engineering pipeline that connected them. Most of my time went into the boring-but-critical operational layer — feature monitoring, drift detectio...","LoRA:expert/75m, Document Processing:expert/61m, Model Adaptation:advanced/51m, TTS:advanced/48m, BM25:expert/92m, Information Retrieval Systems:expert/47m, NLP:expert/54m, Text Encoders:expert/36m, Search Infrastructure:expert/48m, PyTorch:expert/63m, Indexing Algorithms:expert/58m, scikit-learn:expert/41m",connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | surface the right thing | right thing at the right time | millions of items | millions of users,,active=2026-03-28; open_to_work=True; response=0.63; notice=0; github=30.8; saved_30d=65,5,5,"Senior Applied Scientist at Niramai, 9.0yr, Kolkata, West Bengal. Strong domain fit, ideal band, India, open and active.",Career history shows senior production retrieval and ranking ownership with explicit evaluation.,same_label,exact,no,5,,not_reviewed,,
5,"Consensus label 5. Claude=5; GPT=5. Claude note: Staff Machine Learning Engineer at LinkedIn, 8.0yr, Noida, Uttar Pradesh. Strong retrieval/ranking signals, ideal exp band, India, available. | GPT note: Career history shows senior production retrieval and ranking ownership with explicit evaluation.",v1_top_260,CAND_0061257,1.005183,0,Staff Machine Learning Engineer,8,LinkedIn,Internet,"Noida, Uttar Pradesh",Senior Engineer | 8.0+ yrs in production systems,"Senior engineer who has spent the last several years building systems that connect users with relevant information at scale. Comfortable across the full stack from infrastructure to algorithms to product experience, though most of my time has been in the middle layer — the ranking and retrieval systems that decide what to show. Strong preference for shipping real systems over research-only work; I'd rather have a working v1 in 6 weeks than a perfect v2 in 6 months. I've made the standard mistakes — over-engineer...","Staff Machine Learning Engineer at LinkedIn (43m): Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users. The hard problem was rarely the modeling — it was the data pipeline that fed the models, the evaluation framework that told us whether they worked, and the operational discipline of keeping all of it healthy in production. I owned all three across roughly 14 months. || Senior Applied Scientist at Yellow.ai (52m): Owned the search and discovery experience end-to-end at a consumer product, from how content is represented internally through to how the most relevant results appear for each user's intent. The work spanned data infrastructure, ranking algorithms, evaluation methodology, and direct collaboration with product/PM on what 'relevance' actually means for our users. Spent a fair amount of time on the eval side — building offline metrics that actually correlated with online engagement, which turned out to be the hardest part.","Model Adaptation:expert/79m, Workflow Orchestration:expert/62m, Search Infrastructure:expert/83m, Python:expert/72m, Vector Representations:expert/41m, Indexing Algorithms:expert/39m, Information Retrieval Systems:advanced/58m, Machine Learning:expert/61m, Haystack:advanced/43m, Image Classification:advanced/22m, PEFT:advanced/33m, Feature Engineering:advanced/27m",connect users with relevant information | relevant information at scale | ranking and retrieval systems | decide what to show | surface the right thing | right thing at the right time | millions of items | millions of users,,active=2026-04-16; open_to_work=True; response=0.87; notice=30; github=45.3; saved_30d=80,5,5,"Staff Machine Learning Engineer at LinkedIn, 8.0yr, Noida, Uttar Pradesh. Strong retrieval/ranking signals, ideal exp band, India, available.",Career history shows senior production retrieval and ranking ownership with explicit evaluation.,same_label,exact,no,5,,not_reviewed,,
